timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/13 12:13:30.599, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.67 W
2026/08/13 12:13:31.606, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.88 W
2026/08/13 12:13:32.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.87 W
2026/08/13 12:13:33.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.78 W
2026/08/13 12:13:34.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.77 W
2026/08/13 12:13:35.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.86 W
2026/08/13 12:13:36.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.67 W
2026/08/13 12:13:37.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.68 W
2026/08/13 12:13:38.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 12:13:39.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 12:13:40.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 12:13:41.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:13:42.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:13:43.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:13:44.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 12:13:45.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.87 W
2026/08/13 12:13:46.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 12:13:47.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:13:48.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:13:49.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.88 W
2026/08/13 12:13:50.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 12:13:51.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:13:52.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.88 W
2026/08/13 12:13:53.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.68 W
2026/08/13 12:13:54.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:13:55.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 12:13:56.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 12:13:57.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 12:13:58.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:13:59.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 12:14:00.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.88 W
2026/08/13 12:14:01.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.88 W
2026/08/13 12:14:02.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.70 W
2026/08/13 12:14:03.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:04.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:05.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:06.613, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.70 W
2026/08/13 12:14:07.613, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:14:08.613, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.88 W
2026/08/13 12:14:09.613, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 12:14:10.613, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 12:14:11.613, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 12:14:12.614, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 12:14:13.614, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.87 W
2026/08/13 12:14:14.614, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 12:14:15.614, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 12:14:16.614, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:17.614, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:18.615, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.76 W
2026/08/13 12:14:19.615, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.89 W
2026/08/13 12:14:20.615, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:14:21.615, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.70 W
2026/08/13 12:14:22.615, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:14:23.616, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:24.616, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:25.616, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:26.616, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.70 W
2026/08/13 12:14:27.616, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 12:14:28.617, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.89 W
2026/08/13 12:14:29.617, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.87 W
2026/08/13 12:14:30.617, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:14:31.617, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.87 W
2026/08/13 12:14:32.617, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 12:14:33.618, NVIDIA A800 80GB PCIe, 0 %, 0 %, 489 MiB, 81920 MiB, 43.78 W
2026/08/13 12:14:34.619, NVIDIA A800 80GB PCIe, 26 %, 0 %, 6273 MiB, 81920 MiB, 65.94 W
2026/08/13 12:14:35.619, NVIDIA A800 80GB PCIe, 25 %, 0 %, 11829 MiB, 81920 MiB, 65.85 W
2026/08/13 12:14:36.619, NVIDIA A800 80GB PCIe, 25 %, 0 %, 17525 MiB, 81920 MiB, 135.65 W
2026/08/13 12:14:37.619, NVIDIA A800 80GB PCIe, 94 %, 34 %, 23033 MiB, 81920 MiB, 295.30 W
2026/08/13 12:14:38.619, NVIDIA A800 80GB PCIe, 95 %, 36 %, 23033 MiB, 81920 MiB, 276.95 W
2026/08/13 12:14:39.620, NVIDIA A800 80GB PCIe, 93 %, 36 %, 23033 MiB, 81920 MiB, 264.87 W
2026/08/13 12:14:40.620, NVIDIA A800 80GB PCIe, 92 %, 32 %, 23033 MiB, 81920 MiB, 262.53 W
2026/08/13 12:14:41.620, NVIDIA A800 80GB PCIe, 92 %, 31 %, 23033 MiB, 81920 MiB, 191.14 W
2026/08/13 12:14:42.620, NVIDIA A800 80GB PCIe, 92 %, 33 %, 23033 MiB, 81920 MiB, 213.74 W
2026/08/13 12:14:43.620, NVIDIA A800 80GB PCIe, 92 %, 34 %, 23033 MiB, 81920 MiB, 294.09 W
2026/08/13 12:14:44.620, NVIDIA A800 80GB PCIe, 92 %, 36 %, 23033 MiB, 81920 MiB, 284.06 W
2026/08/13 12:14:45.621, NVIDIA A800 80GB PCIe, 93 %, 37 %, 23033 MiB, 81920 MiB, 277.54 W
2026/08/13 12:14:46.621, NVIDIA A800 80GB PCIe, 93 %, 38 %, 23033 MiB, 81920 MiB, 268.77 W
2026/08/13 12:14:47.621, NVIDIA A800 80GB PCIe, 91 %, 36 %, 23033 MiB, 81920 MiB, 199.24 W
2026/08/13 12:14:48.621, NVIDIA A800 80GB PCIe, 91 %, 33 %, 23033 MiB, 81920 MiB, 213.93 W
2026/08/13 12:14:49.621, NVIDIA A800 80GB PCIe, 94 %, 33 %, 23033 MiB, 81920 MiB, 184.53 W
2026/08/13 12:14:50.622, NVIDIA A800 80GB PCIe, 88 %, 32 %, 23205 MiB, 81920 MiB, 306.73 W
2026/08/13 12:14:51.622, NVIDIA A800 80GB PCIe, 92 %, 33 %, 23205 MiB, 81920 MiB, 301.97 W
2026/08/13 12:14:52.622, NVIDIA A800 80GB PCIe, 93 %, 35 %, 23205 MiB, 81920 MiB, 266.25 W
2026/08/13 12:14:53.622, NVIDIA A800 80GB PCIe, 94 %, 37 %, 23205 MiB, 81920 MiB, 240.24 W
2026/08/13 12:14:54.622, NVIDIA A800 80GB PCIe, 93 %, 34 %, 23205 MiB, 81920 MiB, 232.13 W
2026/08/13 12:14:55.622, NVIDIA A800 80GB PCIe, 94 %, 33 %, 23205 MiB, 81920 MiB, 269.96 W
2026/08/13 12:14:56.681, NVIDIA A800 80GB PCIe, 93 %, 35 %, 23205 MiB, 81920 MiB, 210.85 W
2026/08/13 12:14:57.681, NVIDIA A800 80GB PCIe, 93 %, 33 %, 23205 MiB, 81920 MiB, 286.75 W
2026/08/13 12:14:58.681, NVIDIA A800 80GB PCIe, 91 %, 33 %, 23205 MiB, 81920 MiB, 294.41 W
2026/08/13 12:14:59.681, NVIDIA A800 80GB PCIe, 94 %, 36 %, 23205 MiB, 81920 MiB, 280.95 W
2026/08/13 12:15:00.681, NVIDIA A800 80GB PCIe, 93 %, 36 %, 23205 MiB, 81920 MiB, 297.44 W
2026/08/13 12:15:01.682, NVIDIA A800 80GB PCIe, 93 %, 33 %, 23205 MiB, 81920 MiB, 298.67 W
2026/08/13 12:15:02.682, NVIDIA A800 80GB PCIe, 91 %, 31 %, 23205 MiB, 81920 MiB, 265.26 W
2026/08/13 12:15:03.682, NVIDIA A800 80GB PCIe, 98 %, 36 %, 23205 MiB, 81920 MiB, 260.37 W
