timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/13 11:49:22.591, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.70 W
2026/08/13 11:49:23.601, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.78 W
2026/08/13 11:49:24.601, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.68 W
2026/08/13 11:49:25.601, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.67 W
2026/08/13 11:49:26.602, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.77 W
2026/08/13 11:49:27.602, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.77 W
2026/08/13 11:49:28.602, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 43.68 W
2026/08/13 11:49:29.602, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 11:49:30.602, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.68 W
2026/08/13 11:49:31.603, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 11:49:32.603, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 11:49:33.603, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:34.603, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:35.603, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:36.603, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:37.604, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:38.604, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 11:49:39.604, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 11:49:40.604, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:49:41.604, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.68 W
2026/08/13 11:49:42.605, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:43.605, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:49:44.605, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 11:49:45.605, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 11:49:46.606, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:47.606, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:49:48.606, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:49:49.606, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:49:50.606, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 11:49:51.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.76 W
2026/08/13 11:49:52.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 11:49:53.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.87 W
2026/08/13 11:49:54.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 11:49:55.607, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.88 W
2026/08/13 11:49:56.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:57.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:49:58.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 11:49:59.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:50:00.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 11:50:01.608, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 11:50:02.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 11:50:03.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.87 W
2026/08/13 11:50:04.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.58 W
2026/08/13 11:50:05.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 11:50:06.609, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:50:07.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 11:50:08.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 11:50:09.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:50:10.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:50:11.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.59 W
2026/08/13 11:50:12.610, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.70 W
2026/08/13 11:50:13.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.79 W
2026/08/13 11:50:14.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.70 W
2026/08/13 11:50:15.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.78 W
2026/08/13 11:50:16.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 11:50:17.611, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 11:50:18.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.77 W
2026/08/13 11:50:19.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.68 W
2026/08/13 11:50:20.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.86 W
2026/08/13 11:50:21.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 11:50:22.612, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 11:50:23.613, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.69 W
2026/08/13 11:50:24.613, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.67 W
2026/08/13 11:50:25.614, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 43.76 W
2026/08/13 11:50:26.614, NVIDIA A800 80GB PCIe, 0 %, 0 %, 1541 MiB, 81920 MiB, 65.56 W
2026/08/13 11:50:27.614, NVIDIA A800 80GB PCIe, 29 %, 1 %, 7541 MiB, 81920 MiB, 65.75 W
2026/08/13 11:50:28.614, NVIDIA A800 80GB PCIe, 21 %, 0 %, 13103 MiB, 81920 MiB, 66.04 W
2026/08/13 11:50:29.614, NVIDIA A800 80GB PCIe, 28 %, 7 %, 19113 MiB, 81920 MiB, 157.88 W
2026/08/13 11:50:30.614, NVIDIA A800 80GB PCIe, 95 %, 22 %, 19315 MiB, 81920 MiB, 282.35 W
2026/08/13 11:50:31.615, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19319 MiB, 81920 MiB, 254.11 W
2026/08/13 11:50:32.615, NVIDIA A800 80GB PCIe, 97 %, 21 %, 19319 MiB, 81920 MiB, 291.21 W
