timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/24 19:50:43.967, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:44.976, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:45.976, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.90 W
2026/08/24 19:50:46.976, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.71 W
2026/08/24 19:50:47.976, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:48.976, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.60 W
2026/08/24 19:50:49.976, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 19:50:50.977, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:51.977, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:52.977, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:53.978, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:54.978, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 19:50:55.978, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 19:50:56.978, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:57.978, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 19:50:58.979, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 19:50:59.979, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 19:51:00.979, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 19:51:01.979, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 19:51:02.979, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.61 W
2026/08/24 19:51:03.979, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 19:51:04.980, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 19:51:05.980, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 19:51:06.980, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 19:51:07.980, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
