timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/24 20:01:00.256, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.72 W
2026/08/24 20:01:01.264, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:02.264, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.72 W
2026/08/24 20:01:03.265, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:04.265, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:05.265, NVIDIA A800 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB, 44.61 W
2026/08/24 20:01:06.265, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 45.01 W
2026/08/24 20:01:07.265, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:08.265, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:09.265, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:10.266, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:11.266, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:12.266, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:13.266, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 20:01:14.266, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:15.267, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:16.267, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:17.267, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:18.267, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.52 W
2026/08/24 20:01:19.267, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:20.267, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:21.268, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.63 W
2026/08/24 20:01:22.268, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:23.268, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:24.268, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:25.268, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.61 W
2026/08/24 20:01:26.268, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.70 W
2026/08/24 20:01:27.268, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:28.269, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 20:01:29.269, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 20:01:30.269, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:31.273, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.61 W
2026/08/24 20:01:32.277, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:33.281, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.61 W
2026/08/24 20:01:34.285, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:35.289, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:36.294, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.52 W
2026/08/24 20:01:37.299, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:38.303, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.74 W
2026/08/24 20:01:39.308, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:40.312, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 45.00 W
2026/08/24 20:01:41.317, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:42.321, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.52 W
2026/08/24 20:01:43.326, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:44.330, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 20:01:45.335, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:46.340, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.91 W
2026/08/24 20:01:47.344, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.61 W
2026/08/24 20:01:48.348, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:49.353, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.74 W
2026/08/24 20:01:50.358, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:51.363, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.81 W
2026/08/24 20:01:52.367, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 20:01:53.372, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:01:54.376, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 20:01:55.380, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:56.384, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.52 W
2026/08/24 20:01:57.389, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.62 W
2026/08/24 20:01:58.393, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.90 W
2026/08/24 20:01:59.397, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 20:02:00.401, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.64 W
2026/08/24 20:02:01.406, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.72 W
2026/08/24 20:02:02.410, NVIDIA A800 80GB PCIe, 0 %, 0 %, 4 MiB, 81920 MiB, 44.71 W
2026/08/24 20:02:03.416, NVIDIA A800 80GB PCIe, 31 %, 1 %, 5903 MiB, 81920 MiB, 67.78 W
2026/08/24 20:02:04.420, NVIDIA A800 80GB PCIe, 26 %, 0 %, 12133 MiB, 81920 MiB, 67.59 W
2026/08/24 20:02:05.424, NVIDIA A800 80GB PCIe, 17 %, 0 %, 19029 MiB, 81920 MiB, 177.56 W
2026/08/24 20:02:06.428, NVIDIA A800 80GB PCIe, 53 %, 13 %, 19233 MiB, 81920 MiB, 292.34 W
2026/08/24 20:02:07.432, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 283.06 W
2026/08/24 20:02:08.437, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19237 MiB, 81920 MiB, 285.87 W
